prod_value,markup_value
"Клиент: Добрый день, хо узнать остаток по кредиту.
Оператор: Конечно подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рубл","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Оператор: Подскажите, пожалуйста, сумму, котор вы планируете разместить.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назовите последние четыре цифры карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможе через приложе или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйте, у ме не проходит оплата картой в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошиб
Клиент: В супермаркете около дома, терминал пишет 'отказано'.
Оператор: Виж что карта активна. Попробуй пожалуйста, повторить оплату и воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый вечер, хочу оформи вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете размести
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентн ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, мне нужн заблокировать карту, я её потер
Клиент: 3456.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добрый веч хоч оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуй у меня не проходит оплата картой в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома, терминал пишет 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоватьс банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: У меня н получается во в мобильное приложение
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пише 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SM",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникл ошиб
Клиент: В супермаркете около до терминал пишет 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повторить опла или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Оператор: Конечно, подскажит дату рождения для идентификац
Оператор: Спасибо. Остаток п кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуаци Назовите последние четыре цифры карты.
Клиент: 34
Оператор: Карта заблокирована, перевыпуск возможен чере приложение или в офи","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйт мне нужн заблокировать карту, я её потерял
Оператор: Понимаю вашу ситуаци Назовите последние четыре цифры карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуаци Назовите послед чет цифры карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добрый вечер, хочу оформить вклад.
Клиент: Примерно 300 тысяч рублей.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У меня не получае вой в мобильное приложение.
Оператор: Понимаю. Какая име ошибка отображается
Клиент: Пише 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Добрый вечер, хоч оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерн 300 тысяч рублей
Оператор: У нас есть предложение с процентно ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый день, хочу узнать оста п креди
Клиент: 1 мая 1987 года.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Какая имен ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль че SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назовите последние четы цифры карт
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль чер SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
